Raw MAF FIR

-0.964532 -0.960994 -0.964227
-0.956785 -0.959164 -0.961604
-0.966850 -0.960018 -0.959774
-0.965081 -0.964837 -0.959713
-0.971364 -0.964898 -0.960933
-0.967826 -0.965569 -0.962519
-0.963312 -0.966850 -0.963922
-0.973621 -0.968192 -0.965325
-0.970388 -0.969290 -0.966728
-0.964349 -0.967887 -0.967643
-0.960384 -0.966362 -0.968131
-0.962824 -0.966301 -0.968314
-0.969534 -0.965447 -0.967887
-0.958798 -0.963129 -0.966606
-0.967887 -0.963861 -0.965081
-0.951661 -0.962092 -0.964105
-0.969778 -0.963495 -0.963800
-0.971486 -0.963922 -0.963434
-0.959164 -0.963983 -0.962946
-0.970449 -0.964471 -0.962885
-0.960750 -0.966301 -0.963739
-0.962153 -0.964776 -0.964898
-0.961482 -0.962763 -0.965508
-0.964288 -0.963800 -0.965081
-0.960933 -0.961909 -0.964044
-0.977159 -0.965203 -0.963190
-0.961604 -0.965081 -0.962824
-0.967582 -0.966301 -0.963434
-0.968802 -0.967216 -0.964776
-0.966118 -0.968253 -0.966179
-0.969717 -0.966728 -0.967033
-0.963861 -0.967216 -0.967277
-0.958737 -0.965447 -0.967277
-0.961848 -0.964044 -0.967094
-0.963678 -0.963556 -0.966484
-0.944646 -0.958554 -0.965020
-0.966484 -0.959042 -0.963129
-0.963922 -0.960079 -0.961177
-0.957395 -0.959225 -0.959530
-0.965264 -0.959530 -0.958798
-0.967460 -0.964105 -0.959164
-0.969961 -0.964776 -0.960323
-0.964593 -0.964898 -0.961909
-0.966911 -0.966789 -0.963556
-0.969046 -0.967582 -0.965081
-0.964166 -0.966911 -0.966362
-0.962092 -0.965325 -0.966972
-0.965142 -0.965447 -0.966911
-0.961970 -0.964471 -0.966362
-0.964288 -0.963495 -0.965569
-0.959713 -0.962641 -0.964654
-0.963800 -0.962946 -0.963861
-0.951661 -0.960262 -0.963251
-0.960445 -0.959957 -0.962641
-0.960567 -0.959225 -0.961726
-0.953857 -0.958066 -0.960384
