a_x a_y a_z
129 -1263 -15497
0 0 0
109 -1204 -15384
0 0 0
149 -1291 -15379
0 0 0
282 -1295 -15437
0 0 0
94 -1204 -15375
0 0 0
167 -1245 -15333
0 0 0
43 -1347 -15397
0 0 25716
119 -1285 -15363
0 0 0
120 -1212 -15258
0 0 0
183 -1287 -15389
0 0 0
139 -1332 -15039
0 0 0
122 -1322 -15296
0 0 0
149 -1336 -15322
0 0 0
194 -1225 -15485
0 0 0
204 -1287 -15504
0 0 0
214 -1225 -15466
0 0 0
131 -1207 -15484
0 0 0
93 -1301 -15545
0 0 0
93 -1215 -15368
0 0 0
146 -1274 -15369
0 0 0
117 -1311 -15393
0 0 25716
136 -1258 -15465
0 0 0
167 -1168 -15288
0 0 1
102 -1342 -15444
0 0 0
164 -1301 -15309
0 0 33
204 -1240 -15491
0 0 0
123 -1302 -15465
0 0 33
138 -1370 -15427
0 0 0
170 -1284 -15518
0 0 0
138 -1180 -15318
0 0 0
155 -1318 -15414
0 0 0
90 -1281 -15444
0 0 0
178 -1272 -15512
0 0 0
144 -1211 -15277
0 0 0
113 -1292 -15582
0 0 0
62 -1302 -15460
0 0 0
98 -1283 -15436
0 0 0
163 -1265 -15377
0 0 85
155 -1270 -15516
0 0 -20504
197 -1207 -15468
0 0 17636
130 -1334 -15460
0 0 18096
211 -1238 -15478
0 0 22511
89 -1354 -15452
0 0 17045
122 -1336 -15377
0 0 0
194 -1349 -15434
0 0 0
115 -1349 -15256
0 0 0
155 -1204 -15514
0 0 85
110 -1249 -15401
0 0 0
150 -1337 -15324
0 0 0
149 -1261 -15389
0 0 0
194 -1302 -15400
0 0 0
69 -1216 -15380
0 0 0
183 -1241 -15409
0 0 0
135 -1194 -15517
0 0 0
228 -1213 -15480
0 0 0
191 -1318 -15501
0 0 0
103 -1181 -15391
0 0 -20222
135 -1233 -15077
0 0 528
183 -1272 -15444
0 0 -1951
170 -1248 -15285
0 0 5384
332 -1287 -15382
0 0 0
138 -1288 -15392
0 0 -16256
202 -1228 -15473
0 0 0
117 -1302 -15369
0 0 -15637
114 -1331 -15520
0 0 2048
102 -1245 -15417
0 0 512
93 -1249 -15424
0 0 268
147 -1198 -15357
0 0 401
156 -1288 -15506
0 0 -24563
104 -1299 -15149
0 0 -23520
231 -1241 -15524
0 0 -32246
26 -1260 -15472
0 0 26432
160 -1311 -15476
0 0 20
149 -1318 -15418
0 0 9344
339 -1256 -15457
0 0 10320
186 -1321 -15549
0 0 -14068
173 -1311 -15359
0 0 4752
140 -1139 -15514
0 0 544
186 -1313 -15411
0 0 -23231
170 -1344 -15514
0 0 2624
155 -1200 -15433
0 0 -32768
204 -1261 -15185
